student_id,gender,age,department,course,historical_grade,previous_grade,assignment_score,quiz_score,midterm_score,attendance_percentage,lms_login_count,lms_activity_count,study_hours,performance_status
S2556,Female,22,Computer Science,ENG101,64.5,66.9,56.3,66.6,19.1,81.9,30,92,15.6,PASS
S2557,Female,25,Physics,PHY101,89.8,85.6,58.1,58.1,58.3,76.8,49,84,22.0,PASS
S2558,Male,21,Engineering,ENG101,74.9,84.0,80.2,57.7,38.3,78.2,49,77,20.2,PASS
S2559,Male,29,Computer Science,BUS101,63.8,63.9,60.2,47.3,42.3,63.8,44,70,11.4,PASS
S2560,Male,23,Engineering,CS201,64.8,69.4,78.2,55.1,43.2,91.0,32,81,17.2,PASS
S2561,Female,21,Business,BUS101,79.4,67.4,62.3,61.5,70.4,97.2,39,95,16.0,PASS
S2562,Female,19,Engineering,ENG101,61.4,65.4,49.8,59.4,32.0,82.9,35,89,10.8,PASS
S2563,Male,18,Business,ENG101,65.7,69.6,59.7,49.5,24.5,67.4,42,70,19.6,PASS
S2564,Male,18,Computer Science,CS201,66.3,67.4,69.3,72.9,43.2,86.1,42,84,14.3,PASS
S2565,Male,25,Computer Science,CS101,68.0,56.7,53.9,50.7,39.6,75.6,50,48,17.9,PASS
S2566,Male,21,Mathematics,CS201,69.3,65.7,67.5,57.8,64.1,64.0,42,88,21.7,PASS
S2567,Male,22,Computer Science,CS101,80.4,75.3,68.8,56.9,58.3,80.3,54,82,12.5,PASS
S2568,Male,28,Mathematics,PHY101,77.8,83.6,67.0,68.7,45.1,93.5,54,58,16.6,PASS
S2569,Female,25,Computer Science,ENG101,69.0,62.9,78.2,48.9,53.6,78.4,36,67,12.8,PASS
S2570,Female,29,Mathematics,MATH101,66.3,69.1,47.0,80.3,53.2,80.8,41,82,14.1,PASS
S2571,Male,24,Engineering,MATH101,67.4,66.0,71.2,59.4,29.2,68.1,39,74,15.7,PASS
S2572,Female,25,Business,BUS101,75.5,80.9,55.8,37.8,50.7,80.1,47,88,13.9,PASS
S2573,Male,25,Computer Science,CS201,44.3,45.4,33.7,29.9,53.2,70.5,38,74,13.6,FAIL
S2574,Male,23,Computer Science,CS201,67.7,64.4,55.8,70.2,22.8,69.9,45,88,18.5,PASS
S2575,Male,27,Computer Science,MATH101,62.6,58.7,94.9,45.7,28.6,80.5,38,80,16.0,PASS
S2576,Female,19,Computer Science,CS101,100.0,97.8,100.0,92.6,57.6,87.1,51,82,21.7,PASS
S2577,Female,23,Engineering,CS201,76.0,60.6,58.8,50.4,51.8,88.1,57,98,15.7,PASS
S2578,Female,18,Engineering,CS101,43.9,52.8,51.6,57.9,30.3,67.8,30,73,9.5,FAIL
S2579,Male,18,Business,CS101,37.3,43.9,31.7,59.4,24.9,72.5,27,47,10.1,FAIL
S2580,Female,28,Mathematics,CS101,49.4,49.7,39.1,54.0,27.2,67.3,29,63,12.5,FAIL
S2581,Male,20,Business,CS101,57.7,62.4,45.4,65.2,38.4,61.2,43,92,12.9,PASS
S2582,Female,20,Business,BUS101,62.6,62.4,48.8,63.9,54.5,89.3,42,60,14.3,PASS
S2583,Male,28,Engineering,BUS101,65.6,67.7,69.8,43.9,59.9,74.8,40,99,12.2,PASS
S2584,Male,22,Engineering,MATH101,63.5,68.4,70.8,41.5,51.1,69.7,35,114,17.2,PASS
S2585,Female,18,Engineering,BUS101,84.6,83.4,53.0,36.6,65.3,90.4,47,83,17.3,PASS
S2586,Female,27,Mathematics,PHY101,60.1,64.0,55.8,59.5,37.1,78.0,43,68,18.9,PASS
S2587,Male,23,Computer Science,CS201,63.3,54.3,73.6,59.0,69.4,65.6,31,92,17.7,PASS
S2588,Female,24,Computer Science,PHY101,69.0,70.1,54.5,39.0,24.1,78.4,46,78,18.2,PASS
S2589,Male,27,Business,BUS101,62.8,62.8,53.4,51.4,40.8,62.1,29,74,13.0,PASS
S2590,Female,29,Computer Science,CS201,57.8,56.1,57.0,76.9,43.7,70.5,53,87,12.7,PASS
S2591,Female,28,Mathematics,CS201,86.2,85.2,85.5,72.6,52.6,99.2,45,84,17.5,PASS
S2592,Female,20,Mathematics,CS101,38.4,37.2,68.7,65.3,36.4,60.8,42,65,11.9,PASS
S2593,Female,21,Computer Science,MATH101,84.3,89.9,65.3,49.6,48.7,78.0,45,87,19.0,PASS
S2594,Female,27,Computer Science,CS101,82.1,81.8,57.2,60.6,64.7,86.5,55,91,16.3,PASS
S2595,Male,28,Engineering,CS101,71.7,85.8,49.8,62.1,44.5,70.6,54,63,22.0,PASS
S2596,Female,27,Business,PHY101,88.2,83.5,91.5,77.7,48.3,79.1,50,88,16.7,PASS
S2597,Male,29,Computer Science,BUS101,87.6,90.4,79.5,51.0,46.5,96.5,39,80,10.5,PASS
S2598,Male,27,Business,PHY101,68.1,72.5,68.9,80.3,44.3,71.0,34,69,12.6,PASS
S2599,Male,27,Business,BUS101,97.7,95.8,86.6,74.9,51.5,86.7,52,121,20.1,PASS
S2600,Male,27,Engineering,PHY101,75.3,69.2,60.8,72.0,10.9,75.4,44,121,15.3,PASS
S2601,Female,20,Computer Science,CS201,76.8,74.5,72.4,81.1,23.5,77.8,50,73,18.1,PASS
S2602,Male,18,Mathematics,BUS101,60.5,53.9,79.8,28.2,30.4,79.5,37,87,14.2,PASS
S2603,Female,25,Computer Science,BUS101,64.6,60.5,80.4,67.0,34.6,79.4,43,74,13.8,PASS
S2604,Male,27,Mathematics,PHY101,79.3,81.2,89.3,72.3,62.6,77.7,44,99,14.0,PASS
S2605,Male,27,Engineering,ENG101,68.7,81.7,81.5,58.0,45.5,79.3,44,56,17.7,PASS
S2606,Male,19,Business,CS201,65.5,74.2,33.6,50.5,41.0,88.8,42,73,11.3,PASS
S2607,Male,18,Mathematics,CS201,57.7,54.7,53.3,32.7,25.8,76.3,44,77,11.2,PASS
S2608,Male,25,Mathematics,ENG101,69.8,74.6,76.7,63.7,76.2,80.8,44,56,19.9,PASS
S2609,Female,24,Engineering,PHY101,72.1,70.2,55.6,53.3,43.4,74.2,53,90,14.8,PASS
S2610,Male,24,Computer Science,PHY101,74.0,69.6,92.0,51.8,55.7,87.3,58,63,9.3,PASS
S2611,Female,21,Mathematics,CS201,78.5,78.1,84.5,70.6,47.4,73.4,52,101,19.1,PASS
S2612,Male,28,Engineering,PHY101,63.5,52.6,48.5,22.2,45.2,92.3,39,70,19.5,PASS
S2613,Male,26,Computer Science,MATH101,69.3,60.9,72.5,61.2,24.5,79.6,48,76,11.2,PASS
S2614,Female,23,Physics,MATH101,54.8,59.4,62.3,41.7,37.6,73.4,43,77,13.0,PASS
S2615,Male,19,Computer Science,ENG101,60.1,67.0,67.3,48.2,37.3,89.8,33,75,20.5,PASS
S2616,Male,18,Computer Science,BUS101,41.1,28.7,46.7,32.6,26.1,79.4,48,75,15.4,FAIL
S2617,Male,18,Computer Science,MATH101,67.7,74.9,64.5,49.8,53.7,94.3,50,111,20.3,PASS
S2618,Male,26,Business,PHY101,68.7,74.5,70.3,53.5,22.2,89.6,39,101,13.6,PASS
S2619,Female,21,Business,ENG101,86.2,84.5,78.0,62.1,46.1,79.8,46,71,16.8,PASS
S2620,Male,22,Engineering,MATH101,76.3,78.6,68.0,65.7,21.0,77.9,34,76,20.4,PASS
S2621,Female,20,Engineering,CS101,80.5,89.6,57.0,82.6,45.2,86.5,45,86,17.8,PASS
S2622,Female,21,Engineering,ENG101,100.0,100.0,85.9,87.1,73.2,86.7,54,79,23.8,PASS
S2623,Male,29,Business,CS201,82.3,84.8,61.2,78.5,61.3,94.3,43,93,16.5,PASS
S2624,Female,25,Computer Science,MATH101,54.1,51.0,30.0,49.5,29.9,66.8,27,98,15.8,FAIL
S2625,Male,21,Physics,CS201,36.7,34.6,48.2,72.9,24.5,69.6,36,63,8.9,PASS
S2626,Female,26,Computer Science,ENG101,83.9,87.3,59.4,50.3,45.9,81.4,43,96,14.5,PASS
S2627,Male,26,Physics,MATH101,65.5,68.2,44.0,22.0,39.9,75.7,33,68,15.4,PASS
S2628,Female,23,Computer Science,CS201,56.6,62.4,50.0,60.7,47.3,76.7,40,80,11.3,PASS
S2629,Male,19,Mathematics,BUS101,69.7,62.5,58.8,71.9,62.4,76.7,32,82,10.9,PASS
S2630,Male,29,Computer Science,BUS101,79.7,81.9,73.8,48.7,56.5,79.9,45,86,12.1,PASS
S2631,Female,27,Computer Science,CS101,72.2,75.8,62.4,55.4,42.5,70.6,51,77,17.6,PASS
S2632,Female,28,Mathematics,PHY101,52.0,50.8,43.6,69.5,52.2,75.0,43,91,12.6,FAIL
S2633,Male,24,Mathematics,ENG101,59.3,71.2,54.1,69.2,42.6,70.6,42,88,11.2,PASS
S2634,Male,26,Engineering,PHY101,52.4,48.0,55.6,38.8,28.2,68.3,36,86,13.3,PASS
S2635,Female,23,Business,PHY101,74.8,74.5,75.9,36.8,43.3,81.3,26,84,18.1,PASS
S2636,Female,20,Business,CS201,41.8,45.5,44.9,67.4,20.0,75.1,30,70,12.6,FAIL
S2637,Female,24,Mathematics,CS101,54.2,58.5,56.6,41.4,41.4,93.4,36,66,14.6,FAIL
S2638,Female,22,Engineering,ENG101,98.4,97.2,72.3,81.9,62.8,83.0,56,91,21.2,PASS
S2639,Female,18,Engineering,BUS101,74.8,73.5,73.1,76.1,47.5,89.6,36,81,14.5,PASS
S2640,Female,20,Engineering,PHY101,95.9,99.4,87.4,71.3,50.6,86.0,53,88,21.3,PASS
S2641,Male,22,Engineering,CS201,34.1,36.4,33.8,32.5,44.2,85.0,35,61,6.7,FAIL
S2642,Male,24,Mathematics,PHY101,63.7,64.2,76.6,69.0,36.6,98.7,40,107,15.5,PASS
S2643,Female,20,Computer Science,MATH101,89.5,80.2,80.5,43.0,67.5,77.1,54,103,15.9,PASS
S2644,Female,23,Computer Science,BUS101,82.8,83.5,74.1,79.1,37.7,86.2,35,95,12.1,PASS
S2645,Male,22,Business,PHY101,71.2,79.3,59.4,60.2,49.2,84.8,34,71,10.4,PASS
S2646,Male,18,Business,MATH101,69.7,72.6,67.2,47.2,34.3,94.8,42,70,9.7,PASS
S2647,Female,27,Computer Science,MATH101,63.7,59.8,74.2,52.3,44.8,69.8,33,60,16.2,PASS
S2648,Male,23,Engineering,CS201,85.6,78.3,57.8,73.9,41.7,95.8,45,113,21.7,PASS
S2649,Male,25,Physics,CS201,58.3,63.1,49.6,40.5,20.9,77.9,47,83,17.5,PASS
S2650,Male,18,Computer Science,MATH101,88.2,85.9,71.8,69.3,41.4,68.0,21,87,20.2,PASS
S2651,Male,19,Business,CS101,63.4,70.0,55.3,67.5,19.1,78.2,58,83,14.0,PASS
S2652,Male,21,Business,PHY101,53.5,60.1,48.8,47.9,23.5,82.8,41,85,8.7,PASS
S2653,Male,29,Engineering,MATH101,74.4,73.7,81.0,53.1,54.3,96.0,43,68,17.5,PASS
S2654,Male,19,Physics,MATH101,84.9,86.5,97.7,62.7,41.8,87.1,42,97,20.0,PASS
S2655,Female,28,Business,CS201,88.6,90.8,89.7,94.6,45.4,85.9,50,93,17.9,PASS
S2656,Male,26,Engineering,PHY101,91.6,85.6,64.5,78.1,58.9,69.5,44,91,21.8,PASS
S2657,Female,27,Business,ENG101,84.0,92.5,70.5,74.1,27.5,88.5,46,95,15.3,PASS
S2658,Female,25,Business,BUS101,62.5,64.9,47.6,73.9,45.6,72.3,39,96,17.0,PASS
S2659,Male,25,Business,CS201,60.0,60.8,57.9,43.8,35.2,75.1,34,114,12.8,PASS
S2660,Female,21,Mathematics,PHY101,77.7,82.7,71.8,58.1,51.8,92.2,45,100,18.8,PASS
S2661,Male,22,Engineering,PHY101,80.7,82.2,64.1,66.5,47.2,89.6,40,62,20.9,PASS
S2662,Female,21,Computer Science,CS101,54.7,49.2,79.7,68.8,29.5,81.1,39,82,10.4,FAIL
S2663,Male,26,Computer Science,BUS101,73.8,69.8,50.9,37.3,55.3,73.2,47,86,14.7,PASS
S2664,Female,19,Computer Science,CS201,90.3,79.5,63.4,66.6,53.8,72.9,60,111,16.6,PASS
S2665,Female,28,Computer Science,CS201,77.2,77.5,58.6,61.3,53.6,76.1,44,93,20.0,PASS
S2666,Male,25,Mathematics,ENG101,81.7,84.4,93.6,73.2,61.0,71.9,60,94,20.6,PASS
S2667,Male,19,Business,CS101,68.6,67.6,72.0,47.0,26.8,91.4,45,84,14.4,PASS
S2668,Female,18,Business,CS101,63.0,57.3,53.0,71.4,29.5,80.8,41,79,16.3,FAIL
S2669,Female,27,Business,PHY101,57.2,54.7,54.8,60.2,24.4,95.7,30,79,12.1,PASS
S2670,Male,20,Mathematics,PHY101,72.9,71.0,64.0,50.6,39.6,86.3,40,124,13.6,PASS
S2671,Female,26,Engineering,CS201,77.3,81.7,55.0,62.6,48.4,97.4,52,83,18.2,PASS
S2672,Male,29,Mathematics,ENG101,63.9,71.0,67.2,52.9,27.6,83.5,30,71,16.4,PASS
S2673,Female,20,Engineering,CS201,76.9,63.2,71.4,67.1,36.5,94.1,37,88,13.7,PASS
S2674,Male,26,Physics,MATH101,100.0,99.6,92.2,66.7,55.8,90.1,50,74,19.8,PASS
S2675,Female,24,Business,PHY101,81.1,78.1,80.2,62.6,59.5,96.9,44,68,16.5,PASS
S2676,Male,27,Computer Science,MATH101,39.1,37.8,48.0,54.4,17.2,80.4,41,50,5.2,FAIL
S2677,Male,18,Business,ENG101,79.7,83.9,75.9,80.4,48.9,70.0,54,76,15.4,PASS
S2678,Male,27,Engineering,CS201,69.3,66.8,60.6,60.1,38.0,89.8,31,132,15.8,PASS
S2679,Male,22,Computer Science,PHY101,43.9,47.3,70.9,47.8,25.0,80.0,40,57,9.4,PASS
S2680,Male,26,Business,ENG101,68.5,78.5,74.8,60.5,33.1,61.3,37,83,12.8,PASS
S2681,Male,29,Engineering,CS201,57.1,54.9,64.4,52.4,5.0,75.8,40,68,13.5,FAIL
S2682,Female,20,Computer Science,CS201,100.0,98.9,100.0,76.4,52.3,100.0,49,101,20.0,PASS
S2683,Male,26,Physics,MATH101,60.9,59.7,69.3,48.7,39.2,56.5,45,103,14.7,PASS
S2684,Male,22,Business,BUS101,69.4,81.4,62.1,56.7,42.4,87.6,25,106,15.4,PASS
S2685,Male,26,Mathematics,CS101,100.0,97.5,63.0,64.9,68.3,93.7,47,91,22.2,PASS
S2686,Male,27,Business,PHY101,73.0,80.3,79.4,66.9,26.1,82.4,54,80,18.2,PASS
S2687,Male,23,Engineering,CS101,58.3,58.1,64.7,53.8,39.4,100.0,37,89,16.3,PASS
S2688,Male,26,Engineering,ENG101,50.0,50.9,45.9,64.4,23.4,82.2,16,85,15.9,FAIL
S2689,Male,24,Business,CS101,67.7,71.9,65.2,63.5,31.4,75.0,35,83,18.1,PASS
S2690,Male,24,Physics,MATH101,71.9,70.0,67.7,76.6,49.4,78.7,50,96,13.7,PASS
S2691,Female,25,Computer Science,BUS101,73.9,78.8,85.5,62.9,53.8,91.2,33,70,12.4,PASS
S2692,Female,24,Mathematics,PHY101,82.4,81.1,85.8,73.9,63.2,90.8,41,75,19.3,PASS
S2693,Male,29,Physics,CS201,81.1,75.7,70.5,68.7,55.3,81.7,49,83,21.2,PASS
S2694,Male,26,Business,CS201,82.2,87.3,85.3,47.3,48.1,94.7,47,75,15.3,PASS
S2695,Female,28,Physics,MATH101,73.3,76.4,58.4,65.5,26.4,71.6,31,96,18.4,PASS
S2696,Male,26,Engineering,PHY101,54.7,51.8,45.6,38.9,47.7,85.3,22,47,18.4,PASS
S2697,Female,23,Physics,CS101,60.9,66.6,71.4,39.5,39.3,73.7,33,78,13.7,PASS
S2698,Male,24,Business,CS201,68.2,63.3,52.4,51.1,29.8,87.0,42,80,11.3,PASS
S2699,Female,19,Computer Science,CS101,92.5,94.6,71.9,65.0,58.1,100.0,50,102,23.1,PASS
S2700,Female,26,Physics,MATH101,68.7,60.2,46.3,41.4,23.7,62.0,51,80,17.2,PASS
S2701,Female,29,Engineering,CS201,53.1,51.2,43.0,33.4,48.1,72.4,21,84,13.6,FAIL
S2702,Female,18,Engineering,ENG101,73.1,68.9,77.1,83.0,39.1,60.1,46,78,18.2,PASS
S2703,Male,18,Business,BUS101,100.0,93.7,98.9,64.3,46.8,96.4,46,86,19.3,PASS
S2704,Male,20,Computer Science,CS101,78.0,78.2,66.2,63.3,62.3,95.0,42,79,21.4,PASS
S2705,Female,29,Engineering,PHY101,69.8,71.4,66.4,78.6,26.0,74.3,46,82,15.3,PASS
S2706,Female,23,Mathematics,CS101,56.9,60.0,50.8,60.7,33.9,81.5,49,69,7.9,PASS
S2707,Male,22,Computer Science,CS101,98.7,98.7,61.3,53.5,60.8,92.9,49,88,18.6,PASS
S2708,Male,19,Computer Science,CS101,61.3,63.5,58.7,46.3,21.1,81.9,39,50,8.5,PASS
S2709,Male,26,Computer Science,MATH101,96.6,91.0,73.9,74.0,53.1,95.5,54,115,19.7,PASS
S2710,Male,27,Engineering,MATH101,53.6,49.2,42.5,47.9,9.5,81.6,38,80,19.6,PASS
S2711,Female,21,Business,PHY101,63.7,63.6,71.1,61.2,33.0,74.6,45,74,11.0,PASS
S2712,Male,21,Mathematics,MATH101,44.0,39.6,30.9,25.1,4.0,69.6,50,92,10.1,FAIL
S2713,Male,22,Physics,PHY101,65.3,65.3,50.1,41.2,49.9,64.7,60,63,10.4,PASS
S2714,Male,25,Business,PHY101,35.8,32.6,35.9,43.9,14.0,49.5,30,58,10.1,FAIL
S2715,Male,27,Computer Science,MATH101,83.3,82.5,59.0,62.8,35.5,84.6,60,97,18.2,PASS
S2716,Male,21,Physics,CS201,70.6,62.3,57.1,62.9,44.9,98.3,38,80,9.7,PASS
S2717,Female,22,Mathematics,MATH101,74.8,66.2,51.3,42.6,23.8,72.7,36,87,18.3,PASS
S2718,Female,29,Business,CS201,74.7,71.2,57.4,72.9,36.0,76.6,26,77,15.5,PASS
S2719,Female,21,Business,ENG101,37.9,31.2,54.1,37.4,31.4,72.0,33,49,10.1,FAIL
S2720,Male,23,Physics,MATH101,78.3,65.2,67.9,66.0,30.2,80.1,42,77,13.6,PASS
S2721,Female,29,Business,ENG101,52.3,54.8,48.6,49.5,28.0,75.4,36,83,13.1,PASS
S2722,Female,20,Engineering,MATH101,100.0,100.0,100.0,79.6,50.0,93.5,51,105,24.8,PASS
S2723,Female,25,Business,ENG101,88.4,92.7,69.4,58.7,28.0,88.6,47,79,20.7,PASS
S2724,Male,23,Computer Science,BUS101,75.1,74.3,59.0,67.4,31.1,72.9,44,57,18.8,PASS
S2725,Male,27,Engineering,ENG101,68.2,67.4,78.9,70.9,32.5,69.9,24,83,11.3,PASS
S2726,Male,22,Engineering,CS201,69.2,69.7,59.0,79.4,44.3,82.9,32,75,22.6,PASS
S2727,Male,19,Computer Science,CS101,87.4,84.1,83.5,71.2,68.9,72.6,48,92,16.6,PASS
S2728,Male,27,Computer Science,PHY101,67.4,58.2,62.6,48.3,40.2,91.1,28,92,17.0,PASS
S2729,Male,27,Computer Science,ENG101,72.8,78.8,59.1,73.3,45.0,84.7,46,113,16.4,PASS
S2730,Male,24,Business,CS101,49.0,49.1,46.2,58.4,38.4,86.0,31,66,12.8,PASS
S2731,Female,19,Mathematics,BUS101,57.7,57.4,60.6,51.1,39.7,82.4,35,73,16.3,PASS
S2732,Male,18,Physics,BUS101,79.8,78.2,54.4,52.4,39.8,83.2,46,85,20.2,PASS
S2733,Male,24,Engineering,CS201,27.2,30.2,44.6,32.4,9.4,78.3,35,77,4.3,FAIL
S2734,Female,22,Business,CS201,74.6,74.0,49.4,60.1,51.5,82.1,47,92,11.9,PASS
S2735,Female,18,Physics,ENG101,56.3,53.9,76.2,67.3,39.7,72.8,35,78,13.1,PASS
S2736,Female,21,Computer Science,MATH101,87.8,86.1,54.8,58.6,55.1,69.8,50,100,19.7,PASS
S2737,Female,29,Business,BUS101,97.5,97.8,82.5,64.1,51.0,87.8,44,74,19.8,PASS
S2738,Female,21,Mathematics,CS101,100.0,94.2,84.1,82.9,79.5,82.0,38,102,17.2,PASS
S2739,Female,27,Computer Science,MATH101,80.3,87.4,56.0,49.5,38.5,76.7,32,109,19.5,PASS
S2740,Male,24,Mathematics,BUS101,77.7,74.6,65.8,69.8,45.3,78.3,42,90,21.3,PASS
S2741,Male,26,Mathematics,ENG101,51.3,47.3,65.0,61.4,47.6,80.6,37,77,12.3,PASS
S2742,Male,19,Computer Science,BUS101,51.2,49.3,50.5,53.1,32.2,65.1,30,76,14.2,FAIL
S2743,Male,29,Computer Science,CS201,77.3,81.9,75.5,98.2,45.6,70.1,36,112,11.9,PASS
S2744,Male,18,Computer Science,CS101,72.2,70.9,66.7,67.9,46.8,63.7,37,115,14.8,PASS
S2745,Female,19,Engineering,CS101,72.1,78.0,76.3,80.4,35.6,85.9,37,80,17.8,PASS
S2746,Female,24,Engineering,CS201,75.8,74.1,81.7,60.9,44.3,89.5,36,86,16.7,PASS
S2747,Female,27,Engineering,MATH101,90.4,83.3,58.1,53.9,63.1,81.7,49,83,16.2,PASS
S2748,Male,23,Computer Science,CS201,78.3,74.1,72.4,44.9,58.2,78.7,44,103,15.8,PASS
S2749,Female,21,Physics,CS101,87.6,84.2,64.3,67.9,71.7,95.0,60,101,20.7,PASS
S2750,Female,18,Engineering,ENG101,74.6,77.9,74.5,75.9,35.9,80.9,40,56,15.3,PASS
S2751,Male,18,Computer Science,MATH101,50.8,48.5,57.0,58.8,46.3,79.0,32,80,11.0,PASS
S2752,Female,22,Engineering,PHY101,80.5,74.6,73.8,59.8,55.5,86.5,52,83,18.3,PASS
S2753,Male,18,Engineering,BUS101,51.2,44.0,42.1,55.1,43.7,65.4,33,77,12.5,PASS
S2754,Male,29,Engineering,PHY101,95.3,86.1,74.5,51.4,41.2,92.8,38,77,22.3,PASS
S2755,Female,24,Computer Science,ENG101,68.9,82.1,72.4,64.3,32.3,82.3,47,76,13.7,PASS
S2756,Male,28,Computer Science,PHY101,71.4,67.7,70.4,65.8,45.6,75.7,38,73,16.9,PASS
S2757,Male,18,Mathematics,MATH101,50.0,52.2,76.0,67.4,38.5,71.6,45,73,8.8,PASS
S2758,Female,18,Physics,CS101,75.5,69.4,84.6,71.2,40.1,68.9,50,82,16.7,PASS
S2759,Female,19,Engineering,CS101,90.4,96.6,78.1,77.3,49.8,95.1,60,98,22.8,PASS
S2760,Male,28,Engineering,ENG101,84.6,80.3,66.0,71.4,38.0,87.3,41,76,11.2,PASS
S2761,Male,29,Business,PHY101,86.4,95.8,78.8,83.7,45.9,87.2,46,78,19.3,PASS
S2762,Male,27,Business,MATH101,45.3,55.1,35.5,45.9,22.6,74.4,27,73,10.7,FAIL
S2763,Female,20,Engineering,BUS101,68.9,63.3,90.9,65.6,36.8,84.5,37,69,15.2,PASS
S2764,Male,28,Physics,PHY101,26.1,32.3,30.7,55.0,4.9,52.8,27,52,7.9,FAIL
S2765,Male,18,Business,PHY101,31.2,40.6,49.3,5.2,41.8,96.8,12,67,9.8,FAIL
S2766,Female,26,Engineering,BUS101,76.5,68.5,81.6,78.1,58.2,90.1,48,111,18.0,PASS
S2767,Female,27,Business,CS201,37.6,30.2,50.1,52.8,30.6,74.9,34,54,6.6,FAIL
S2768,Male,25,Physics,ENG101,60.7,50.2,47.0,53.2,50.2,96.7,59,54,15.8,PASS
S2769,Male,22,Mathematics,MATH101,88.2,83.5,74.0,74.3,59.9,90.0,49,88,23.0,PASS
S2770,Female,28,Computer Science,ENG101,79.8,74.8,68.1,65.7,74.7,100.0,30,87,16.2,PASS
S2771,Male,19,Engineering,BUS101,65.8,64.1,65.7,61.1,29.8,100.0,45,107,13.1,PASS
S2772,Male,22,Engineering,MATH101,61.7,55.3,65.3,58.7,9.6,92.1,37,87,13.7,PASS
S2773,Female,23,Engineering,CS101,67.0,70.4,59.9,65.8,29.6,80.0,37,85,15.8,PASS
S2774,Male,18,Business,CS101,64.1,64.3,62.4,46.6,16.0,78.6,38,87,12.3,PASS
S2775,Female,28,Mathematics,MATH101,53.2,55.4,58.3,55.1,17.2,72.4,44,70,14.7,PASS
S2776,Male,21,Business,ENG101,67.2,72.3,72.6,44.7,33.0,88.2,43,66,21.0,PASS
S2777,Male,26,Physics,ENG101,81.3,82.6,52.9,54.9,47.0,74.1,60,110,22.2,PASS
S2778,Male,19,Computer Science,CS101,61.3,60.2,70.9,45.4,49.6,76.9,34,74,17.1,PASS
S2779,Male,22,Mathematics,CS101,26.5,22.4,54.5,39.5,35.9,46.1,31,80,11.8,FAIL
S2780,Male,18,Mathematics,BUS101,92.8,97.3,82.2,63.2,59.2,77.4,49,92,22.4,PASS
S2781,Male,21,Engineering,MATH101,77.4,78.8,88.3,52.7,31.8,84.2,34,102,16.7,PASS
S2782,Female,21,Business,ENG101,44.8,45.9,62.3,41.3,20.8,79.3,27,87,7.5,FAIL
S2783,Female,23,Computer Science,BUS101,86.1,83.1,72.4,57.3,48.1,95.9,53,85,20.9,PASS
S2784,Female,27,Mathematics,ENG101,71.6,73.1,62.8,68.8,37.8,82.2,39,84,11.3,PASS
S2785,Female,26,Engineering,CS101,74.6,70.7,84.5,81.6,28.6,76.8,47,92,14.5,PASS
S2786,Male,20,Computer Science,MATH101,49.5,51.0,56.8,36.7,45.1,69.0,34,88,14.0,PASS
S2787,Female,26,Business,CS201,79.0,77.7,52.8,44.6,28.9,77.2,38,70,14.3,PASS
S2788,Male,23,Business,MATH101,58.9,62.5,51.3,53.6,29.0,98.0,32,108,19.7,PASS
S2789,Female,24,Computer Science,PHY101,89.7,83.0,66.7,78.8,55.4,82.6,37,86,17.2,PASS
S2790,Female,29,Computer Science,CS201,98.2,98.5,78.4,79.8,61.0,93.3,58,89,16.0,PASS
S2791,Female,27,Engineering,BUS101,73.2,76.7,68.6,42.3,39.0,79.6,39,108,16.9,PASS
S2792,Female,19,Business,CS201,55.2,55.6,58.1,77.3,36.8,82.5,29,68,11.0,PASS
S2793,Female,28,Mathematics,CS201,50.9,43.8,55.1,51.2,17.8,65.5,31,85,11.4,FAIL
S2794,Male,27,Physics,BUS101,40.1,36.4,67.8,39.4,22.8,66.7,20,56,12.6,FAIL
S2795,Male,23,Engineering,MATH101,83.4,89.8,77.7,78.1,34.5,89.6,49,100,19.9,PASS
S2796,Female,23,Mathematics,BUS101,91.7,91.3,78.6,68.7,44.5,80.8,51,86,20.4,PASS
S2797,Male,19,Engineering,PHY101,73.3,69.2,57.7,76.1,55.7,88.7,48,85,15.7,PASS
S2798,Female,19,Business,CS101,84.5,90.8,75.7,67.6,48.0,90.6,42,106,13.6,PASS
S2799,Female,19,Computer Science,CS101,91.7,99.4,74.8,68.4,52.8,87.5,43,76,20.3,PASS
S2800,Male,27,Engineering,CS201,82.1,76.2,66.8,55.0,43.4,82.5,46,103,17.6,PASS
S2801,Female,29,Business,BUS101,67.2,64.7,67.6,67.7,32.2,78.3,39,82,15.4,PASS
S2802,Female,18,Computer Science,BUS101,100.0,98.3,100.0,81.3,60.3,98.2,41,111,18.1,PASS
S2803,Female,22,Business,BUS101,54.6,57.3,68.4,43.3,59.6,81.6,47,52,13.9,PASS
S2804,Female,25,Mathematics,PHY101,90.3,89.4,81.9,47.4,37.2,100.0,43,95,16.8,PASS
S2805,Female,19,Engineering,PHY101,62.8,63.4,65.0,66.6,25.9,66.4,51,72,15.2,PASS
S2806,Female,22,Engineering,MATH101,94.0,93.2,73.5,74.3,45.0,73.8,37,87,13.8,PASS
S2807,Female,29,Mathematics,ENG101,46.6,57.6,66.3,48.9,1.3,70.4,42,56,16.7,FAIL
S2808,Male,25,Mathematics,ENG101,82.0,84.8,70.6,73.4,47.7,82.3,45,90,17.9,PASS
S2809,Male,27,Computer Science,ENG101,65.0,63.5,62.4,55.0,36.3,78.7,41,59,13.5,PASS
